HDOP,x,y,time,timestamp,altid,slope,sin_aspect,elevation,cos_aspect,veg_class,used
4.2,683742.4561,4559424.974,18991230,18991230,P052,13.3451,0.0447,2183.74,1.2957,Shrubland,1
4.1,665642.9717,4588572.834,18991230,18991230,P052,16.5461,1.7997,2307.29,0.3996,Herbaceous - shrub-steppe,1
4.1,671808.7599,4581698.103,18991230,18991230,P052,21.7841,1.8895,2042.19,1.4569,Herbaceous - shrub-steppe,1
4.1,674394.6732,4577520.676,18991230,18991230,P052,29.2851,1.8654,1991.75,1.5011,Herbaceous - shrub-steppe,1
4.1,633983.62,4603882.293,18991230,18991230,P052,14.0698,0.1684,2057.52,0.4447,Shrubland,1
4,662477.7096,4589771.803,18991230,18991230,P052,17.6982,1.267,2227.72,0.0363,Herbaceous - shrub-steppe,1
4,657314.1314,4599155.961,18991230,18991230,P052,18.506,0.3355,2072.29,1.7473,Herbaceous - shrub-steppe,1
4,620217.4406,4610480.233,18991230,18991230,P052,5.3942,1.6309,1990.23,1.7759,Herbaceous - shrub-steppe,1
4,703615.6248,4551156.74,18991230,18991230,P052,12.3014,1.8015,2133.38,0.402,Shrubland,1
4,703613.9199,4551187.804,18991230,18991230,P052,14.7672,1.9684,2145.51,0.7507,Shrubland,1
3.9,640042.6418,4605941.359,18991230,18991230,P052,20.0478,0.4399,1989.06,0.1716,Herbaceous - shrub-steppe,1
3.9,671020.2724,4583477.963,18991230,18991230,P052,15.7568,0.1297,2035.84,1.4925,Herbaceous - shrub-steppe,1
3.9,615455.6484,4612118.996,18991230,18991230,P052,24.4214,0.2825,2137.77,1.6966,Herbaceous - shrub-steppe,1
3.9,614216.6914,4612668.88,18991230,18991230,P052,23.7289,1.9895,2165.83,1.1448,Shrubland,1
3.8,665766.4614,4588109.108,18991230,18991230,P052,27.5197,1.2118,2244.78,1.9773,Herbaceous - grassland,1
3.8,664437.3534,4589422.879,18991230,18991230,P052,16.2366,0.8978,2224.77,0.0052,Herbaceous - shrub-steppe,1
3.8,671811.3684,4581729.269,18991230,18991230,P052,16.4135,0.1618,2034.53,0.4546,Herbaceous - shrub-steppe,1
3.8,666289.9401,4588395.505,18991230,18991230,P052,22.0532,0.0222,2211.58,1.2097,Herbaceous - shrub-steppe,1
3.7,670963.5984,4583433.301,18991230,18991230,P052,6.3319,1.8835,2047.42,0.5315,Herbaceous - shrub-steppe,1
3.7,625913.7505,4607005.05,18991230,18991230,P052,18.3549,1.2887,1974.68,1.9574,Herbaceous - shrub-steppe,1
3.6,666406.1356,4588032.708,18991230,18991230,P052,29.2986,1.6286,2179.23,0.2222,Herbaceous - shrub-steppe,1
3.6,674434.5934,4577497.195,18991230,18991230,P052,34.061,1.9986,2011.13,1.0529,Herbaceous - shrub-steppe,1
3.6,620200.0985,4610471.058,18991230,18991230,P052,5.2149,0.7213,1991.74,1.9604,Shrubland,1
3.5,664216.3521,4589915.51,18991230,18991230,P052,17.3864,1.2094,2256.12,0.0222,Herbaceous - shrub-steppe,1
3.5,637250.8014,4604779.088,18991230,18991230,P052,39.9508,1.8683,1927.71,0.504,Herbaceous - shrub-steppe,1
3.5,639987.5552,4605901.413,18991230,18991230,P052,7.6211,0.0695,1993.1,0.6336,Herbaceous - shrub-steppe,1
3.5,619881.3278,4610901.072,18991230,18991230,P052,3.3964,0.1506,2020.02,1.5278,Herbaceous - shrub-steppe,1
3.5,619799.3404,4610771.988,18991230,18991230,P052,0.8769,1.3543,2013.21,1.9352,Herbaceous - shrub-steppe,1
3.5,615629.6041,4612281.716,18991230,18991230,P052,23.2797,0.041,2136.07,0.7165,Shrubland,1
3.4,660608.3075,4595504.032,18991230,18991230,P052,18.9823,1.4727,2258.4,0.1188,Herbaceous - shrub-steppe,1
3.4,674467.3917,4577491.319,18991230,18991230,P052,31.9846,0.3488,2029.49,0.2411,Herbaceous - shrub-steppe,1
3.4,675017.1314,4575284.981,18991230,18991230,P052,33.4203,1.9606,1909.12,0.722,Herbaceous - shrub-steppe,1
3.4,633049.9001,4604314.777,18991230,18991230,P052,15.577,0.0002,2034.29,1.0206,Herbaceous - shrub-steppe,1
3.4,619823.4546,4610874.563,18991230,18991230,P052,8.3161,0.0047,2013.21,1.0968,Herbaceous - shrub-steppe,1
3.4,619839.8521,4610890.385,18991230,18991230,P052,6.5982,0.056,2015.56,1.3299,Herbaceous - shrub-steppe,1
3.4,639936.8822,4605806.018,18991230,18991230,P052,11.5361,1.5021,1975.96,1.8648,Herbaceous - shrub-steppe,1
3.4,644916.0785,4605536.979,18991230,18991230,P052,6.7971,0.7427,1910.07,1.9663,Herbaceous - shrub-steppe,1
3.4,637286.5404,4604785.323,18991230,18991230,P052,27.6208,0.9752,1947.33,1.9997,Herbaceous - shrub-steppe,1
3.4,675012.5861,4575126.014,18991230,18991230,P052,38.694,0.0001,1931.69,0.9843,Shrubland,1
3.4,620202.3741,4610484.423,18991230,18991230,P052,5.5749,0.29,1990.03,1.7042,Shrubland,1
3.3,675320.0907,4574983.459,18991230,18991230,P052,8.2762,0.9347,1916.79,0.0021,Herbaceous - shrub-steppe,1
3.3,664242.1236,4589921.65,18991230,18991230,P052,20.0325,1.0898,2258.24,0.004,Herbaceous - shrub-steppe,1
3.3,632896.1071,4604153.113,18991230,18991230,P052,18.8121,1.3543,2053.35,0.0648,Herbaceous - shrub-steppe,1
3.3,633076.0141,4604390.783,18991230,18991230,P052,15.1123,1.8332,2020.32,0.447,Herbaceous - shrub-steppe,1
3.3,624601.8125,4608393.754,18991230,18991230,P052,11.0375,1.932,2013.04,1.3624,Herbaceous - shrub-steppe,1
3.3,666248.3781,4588312.347,18991230,18991230,P052,23.4749,0.2747,2199.08,1.6885,Herbaceous - shrub-steppe,1
3.3,666534.4105,4587835.707,18991230,18991230,P052,29.6491,0.7744,2171.47,1.9742,Herbaceous - shrub-steppe,1
3.3,675095.8244,4575425.74,18991230,18991230,P052,30.8047,1.1145,1930.77,0.0066,Open tree canopy,1
3.3,686214.4922,4556674.674,18991230,18991230,P052,31.5319,0.1295,2029.49,0.5079,Shrubland,1
3.2,669712.3038,4586595.407,18991230,18991230,P052,13.2989,1.938,2170.61,1.3466,Herbaceous - grassland,1
3.2,671813.0851,4581621.555,18991230,18991230,P052,2.6301,1.8604,2054.21,0.4903,Herbaceous - shrub-steppe,1
3.2,671016.8726,4583515.653,18991230,18991230,P052,19.8573,1.9955,2028.24,0.905,Herbaceous - shrub-steppe,1
3.2,625980.3835,4606912.927,18991230,18991230,P052,15.962,1.9767,2009.26,1.2146,Herbaceous - shrub-steppe,1
3.2,632735.3919,4604004.654,18991230,18991230,P052,29.5331,1.782,2087.37,1.6233,Herbaceous - shrub-steppe,1
3.2,616162.8533,4612218.141,18991230,18991230,P052,11.9369,0.2611,2051.87,1.6738,Herbaceous - shrub-steppe,1
3.2,624339.0606,4608262.595,18991230,18991230,P052,3.8037,0.3518,1990.17,1.7615,Herbaceous - shrub-steppe,1
3.2,661886.7839,4592382.302,18991230,18991230,P052,26.3956,0.7087,2227.44,0.0434,Open tree canopy,1
3.2,675140.3128,4575491.245,18991230,18991230,P052,29.7595,1.1744,1927.34,1.9847,Open tree canopy,1
3.1,665597.2459,4588269.637,18991230,18991230,P052,19.171,0.6953,2304.55,0.0476,Herbaceous - grassland,1
3.1,666092.3029,4588118.806,18991230,18991230,P052,31.5033,0.6462,2168.18,0.0647,Herbaceous - grassland,1
3.1,666070.7891,4588218.288,18991230,18991230,P052,26.1088,1.1339,2197.14,1.991,Herbaceous - grassland,1
3.1,620219.6047,4610500.259,18991230,18991230,P052,6.1959,0.7302,1988.73,0.0371,Herbaceous - shrub-steppe,1
3.1,667068.0991,4588512.306,18991230,18991230,P052,37.0958,0.5424,2279.23,0.1108,Herbaceous - shrub-steppe,1
3.1,671044.3436,4583415.212,18991230,18991230,P052,3.8809,0.3118,2050.95,0.2745,Herbaceous - shrub-steppe,1
3.1,683790.6984,4559442.852,18991230,18991230,P052,20.955,1.8877,2171.27,0.5395,Herbaceous - shrub-steppe,1
3.1,660638.8853,4595593.578,18991230,18991230,P052,21.1898,1.7977,2280.7,1.603,Herbaceous - shrub-steppe,1
3.1,666820.9146,4588717.662,18991230,18991230,P052,11.2508,1.1517,2295.67,1.9884,Herbaceous - shrub-steppe,1
3.1,669514.7264,4586461.915,18991230,18991230,P052,10.4383,1.2711,2153.14,0.0375,Open tree canopy,1
3.1,661890.0746,4592384.597,18991230,18991230,P052,26.3956,0.7087,2226.47,0.0434,Open tree canopy,1
3.1,620193.9151,4610492.055,18991230,18991230,P052,6.6525,0.2262,1989.72,1.6334,Shrubland,1
3.1,620206.7059,4610474.5,18991230,18991230,P052,4.0119,0.8563,1990.73,1.9896,Shrubland,1
3,665993.5826,4588048.778,18991230,18991230,P052,20.3362,1.0025,2194.07,2,Herbaceous - grassland,1
3,615651.2372,4612386.456,18991230,18991230,P052,21.0609,1.0193,2156.2,0.0002,Herbaceous - shrub-steppe,1
3,624455.9653,4608634.446,18991230,18991230,P052,15.57,0.9401,1996.81,0.0018,Herbaceous - shrub-steppe,1
3,670524.563,4584597.147,18991230,18991230,P052,15.5467,0.8766,2021.67,0.0076,Herbaceous - shrub-steppe,1
3,670988.841,4583427.232,18991230,18991230,P052,8.3784,1.3102,2047.75,0.0493,Herbaceous - shrub-steppe,1
3,671721.0591,4581938.196,18991230,18991230,P052,23.8107,0.4457,2018.03,0.1677,Herbaceous - shrub-steppe,1
3,670956.7517,4583439.805,18991230,18991230,P052,12.4867,0.1393,2045.77,0.4909,Herbaceous - shrub-steppe,1
3,666389.2441,4588040.095,18991230,18991230,P052,29.7073,0.0093,2193.07,0.8639,Herbaceous - shrub-steppe,1
3,675497.458,4574957.748,18991230,18991230,P052,6.1786,1.9636,1916.08,1.2673,Herbaceous - shrub-steppe,1
3,670432.3631,4584569.426,18991230,18991230,P052,18.366,1.5084,2053.48,1.8612,Herbaceous - shrub-steppe,1
3,625941.6359,4607031.082,18991230,18991230,P052,14.8262,0.4972,1975.45,1.8644,Herbaceous - shrub-steppe,1
3,625886.2149,4606959.033,18991230,18991230,P052,16.9784,1.1269,1977.11,1.9919,Herbaceous - shrub-steppe,1
3,632922.8676,4604013.667,18991230,18991230,P052,19.0146,1.1068,2058.68,1.9943,Herbaceous - shrub-steppe,1
3,675078.9455,4575292.026,18991230,18991230,P052,9.4671,0.9179,1941.39,1.9966,Herbaceous - shrub-steppe,1
3,701455.5149,4551264.735,18991230,18991230,P052,14.5707,1.493,2097.01,1.8701,Shrubland,1
3,620194.1195,4610479.842,18991230,18991230,P052,6.005,0.5503,1991.18,1.8932,Shrubland,1
3,643398.3086,4605668.722,18991230,18991230,P052,0.6162,1.4133,1891.57,1.9106,Shrubland,1
3,675024.8606,4575311.829,18991230,18991230,P052,32.5997,0.6472,1910.01,1.9357,Shrubland,1
2.9,666042.4748,4588249.852,18991230,18991230,P052,27.4068,1.4839,2213.3,1.8751,Herbaceous - grassland,1
2.9,671697.1677,4581957.626,18991230,18991230,P052,21.4882,1.1315,2022.84,0.0087,Herbaceous - shrub-steppe,1
2.9,664023.117,4589885.574,18991230,18991230,P052,12.7194,0.8539,2232.2,0.0107,Herbaceous - shrub-steppe,1
2.9,624318.1931,4608264.455,18991230,18991230,P052,9.4984,0.7246,1988.34,0.0387,Herbaceous - shrub-steppe,1
2.9,661323.437,4593662.69,18991230,18991230,P052,13.4786,0.4988,2457.86,0.1347,Herbaceous - shrub-steppe,1
2.9,660828.4969,4594430.331,18991230,18991230,P052,8.5668,0.0698,2477.44,0.6331,Herbaceous - shrub-steppe,1
2.9,671142.8816,4583706.368,18991230,18991230,P052,18.1787,0.2725,1993.81,1.6861,Herbaceous - shrub-steppe,1
2.9,633881.5989,4603897.054,18991230,18991230,P052,14.9197,1.6152,2023.77,1.7884,Herbaceous - shrub-steppe,1
2.9,675035.8427,4575273.212,18991230,18991230,P052,26.5886,0.5165,1921.07,1.8753,Herbaceous - shrub-steppe,1
2.9,644978.7839,4605611.55,18991230,18991230,P052,11.2334,0.517,1891.24,1.8756,Herbaceous - shrub-steppe,1
2.9,619831.2642,4610905.79,18991230,18991230,P052,7.6545,0.5532,2015.43,1.8946,Herbaceous - shrub-steppe,1
2.9,661532.8021,4592743.169,18991230,18991230,P052,10.8774,0.7024,2378,1.9547,Herbaceous - shrub-steppe,1
2.9,640003.8574,4605920.612,18991230,18991230,P052,5.1867,1.2798,1995.81,1.9601,Herbaceous - shrub-steppe,1
2.9,675183.6122,4575015.715,18991230,18991230,P052,7.7356,1.043,1934.95,1.9991,Herbaceous - shrub-steppe,1
2.9,669770.0789,4586592.319,18991230,18991230,P052,18.3443,0.0466,2180.52,0.6983,Open tree canopy,1
2.9,671964.7192,4580838.646,18991230,18991230,P052,17.9495,1.3994,2092.74,0.0832,Shrubland,1
2.9,703619.2689,4551176.842,18991230,18991230,P052,20.3281,1.8299,2142.49,0.4421,Shrubland,1
2.9,674515.5559,4577403.605,18991230,18991230,P052,39.9577,1.9851,2035.02,1.1719,Shrubland,1
2.8,665797.8332,4588126.49,18991230,18991230,P052,10.2743,0.7862,2256.17,1.9769,Herbaceous - grassland,1
2.8,671027.8821,4583403.714,18991230,18991230,P052,6.3081,1.0141,2051.17,0.0001,Herbaceous - shrub-steppe,1
2.8,657308.8208,4599208.053,18991230,18991230,P052,10.361,0.9239,2060.4,0.0029,Herbaceous - shrub-steppe,1
2.8,619984.9576,4610781.751,18991230,18991230,P052,3.3213,1.1452,2009.52,0.0106,Herbaceous - shrub-steppe,1
2.8,664440.2386,4589406.282,18991230,18991230,P052,16.7509,1.4225,2222.41,0.0936,Herbaceous - shrub-steppe,1
2.8,675234.9204,4575006.954,18991230,18991230,P052,8.6654,1.4868,1927.4,0.1265,Herbaceous - shrub-steppe,1
2.8,633113.6013,4604432.572,18991230,18991230,P052,12.2036,0.4375,2006.66,0.1732,Herbaceous - shrub-steppe,1
2.8,631433.9859,4603388.801,18991230,18991230,P052,11.946,1.5344,2141.59,1.8452,Herbaceous - shrub-steppe,1
2.8,675189.4455,4575016.966,18991230,18991230,P052,10.3837,1.2298,1933.79,1.9732,Herbaceous - shrub-steppe,1
2.8,633132.7954,4604431.817,18991230,18991230,P052,10.4996,1.1443,2005.23,1.9895,Herbaceous - shrub-steppe,1
2.8,675173.211,4574995.468,18991230,18991230,P052,6.2334,1.0438,1935.04,1.999,Herbaceous - shrub-steppe,1
2.8,637231.6285,4604778.722,18991230,18991230,P052,40.5845,0.2133,1911.78,0.3826,Open tree canopy,1
2.8,664246.6315,4589943.969,18991230,18991230,P052,16.8749,0.2197,2250.68,1.6254,Open tree canopy,1
2.8,666248.0603,4588107.943,18991230,18991230,P052,35.1515,1.0909,2199.37,0.0041,Shrubland,1
2.8,620129.3891,4610564.273,18991230,18991230,P052,11.8803,1.3651,1996.64,0.069,Shrubland,1
2.8,701874.9337,4551084.074,18991230,18991230,P052,21.4001,0.5578,2160.14,0.1031,Shrubland,1
2.8,619992.0451,4610806.302,18991230,18991230,P052,2.8228,0.3372,2010.28,0.2512,Shrubland,1
2.8,675018.1708,4575102.819,18991230,18991230,P052,27.6609,0.1121,1930.07,0.54,Shrubland,1
2.7,665726.1791,4588298.14,18991230,18991230,P052,18.6374,0.4814,2316.11,1.855,Herbaceous - grassland,1
2.7,667238.9821,4588534.029,18991230,18991230,P052,18.5969,0.8563,2347.89,0.0104,Herbaceous - shrub-steppe,1
2.7,664033.0624,4589852.474,18991230,18991230,P052,11.8166,0.7659,2241.25,0.0278,Herbaceous - shrub-steppe,1
2.7,664386.1399,4589469.48,18991230,18991230,P052,20.7276,1.2721,2244.92,0.0377,Herbaceous - shrub-steppe,1
2.7,657331.5205,4599124.127,18991230,18991230,P052,12.6493,1.3137,2083.68,0.0505,Herbaceous - shrub-steppe,1
2.7,657313.2105,4599198.151,18991230,18991230,P052,16.0372,1.424,2062.41,0.0943,Herbaceous - shrub-steppe,1
2.7,664243.5645,4589895.022,18991230,18991230,P052,12.8242,0.4938,2265.34,0.1376,Herbaceous - shrub-steppe,1
2.7,644073.9839,4606779.614,18991230,18991230,P052,2.7675,1.5684,1915.06,0.1773,Herbaceous - shrub-steppe,1
2.7,664407.1504,4589427.746,18991230,18991230,P052,13.1996,0.359,2234.9,0.2324,Herbaceous - shrub-steppe,1
2.7,674491.6425,4577423.026,18991230,18991230,P052,32.4817,0.3531,2028.16,0.2375,Herbaceous - shrub-steppe,1
2.7,671026.2305,4583473.66,18991230,18991230,P052,12.4811,1.8212,2038.9,0.4294,Herbaceous - shrub-steppe,1
2.7,624465.2643,4608626.833,18991230,18991230,P052,13.7033,0.1167,1998.76,0.5312,Herbaceous - shrub-steppe,1
2.7,633099.0815,4604225.725,18991230,18991230,P052,10.712,0.0296,2007.99,0.7583,Herbaceous - shrub-steppe,1
2.7,658017.9455,4598730.368,18991230,18991230,P052,11.3839,0.0072,2233.46,0.88,Herbaceous - shrub-steppe,1
2.7,671019.3812,4583515.712,18991230,18991230,P052,19.8573,1.9955,2028.24,0.905,Herbaceous - shrub-steppe,1
2.7,671840.2589,4581675.521,18991230,18991230,P052,11.9275,0.0552,2050.59,1.3276,Herbaceous - shrub-steppe,1
2.7,624503.8824,4608658.598,18991230,18991230,P052,11.6298,1.6929,2002.48,1.721,Herbaceous - shrub-steppe,1
2.7,644914.4114,4605536.945,18991230,18991230,P052,6.7971,0.7427,1910.07,1.9663,Herbaceous - shrub-steppe,1
2.7,661525.4851,4592734.118,18991230,18991230,P052,10.2085,1.0428,2377.44,1.9991,Herbaceous - shrub-steppe,1
2.7,660768.5105,4594573.401,18991230,18991230,P052,20.7911,1.5211,2464.62,1.8535,Open tree canopy,1
2.7,669736.9378,4586650.418,18991230,18991230,P052,25.7013,1.05,2152.14,1.9988,Open tree canopy,1
2.7,686211.012,4556712.358,18991230,18991230,P052,25.8357,1.7838,2031.54,0.379,Shrubland,1
2.7,620202.2254,4610493.305,18991230,18991230,P052,5.6676,0.0142,1989.21,0.8319,Shrubland,1
2.7,643420.2587,4605822.438,18991230,18991230,P052,0.2572,0.0008,1891.03,1.0409,Shrubland,1
2.6,633015.3228,4604380.776,18991230,18991230,P052,16.5385,0.9913,2035.91,0,Herbaceous - shrub-steppe,1
2.6,620107.9252,4610452.857,18991230,18991230,P052,5.1611,1.1041,1998.67,0.0054,Herbaceous - shrub-steppe,1
2.6,660667.0177,4595455.352,18991230,18991230,P052,14.5255,0.7265,2274.67,0.0381,Herbaceous - shrub-steppe,1
2.6,657323.115,4599165.044,18991230,18991230,P052,15.7385,1.3054,2069.3,0.0478,Herbaceous - shrub-steppe,1
2.6,675075.5997,4575430.807,18991230,18991230,P052,33.8027,1.3402,1923.06,0.0597,Herbaceous - shrub-steppe,1
2.6,633093.0816,4604234.499,18991230,18991230,P052,18.924,0.4962,2010.71,0.1362,Herbaceous - shrub-steppe,1
2.6,666234.5046,4588297.587,18991230,18991230,P052,24.7134,1.5688,2191.47,0.1775,Herbaceous - shrub-steppe,1
2.6,644071.417,4606782.895,18991230,18991230,P052,5.2228,1.6261,1915.4,0.2202,Herbaceous - shrub-steppe,1
2.6,675033.5567,4574950.997,18991230,18991230,P052,19.2691,0.2528,1918.72,0.3354,Herbaceous - shrub-steppe,1
2.6,671933.7834,4580907.898,18991230,18991230,P052,10.155,1.8254,2095.34,0.4354,Herbaceous - shrub-steppe,1
2.6,673110.5349,4579295.12,18991230,18991230,P052,4.604,1.9269,2131.17,0.6247,Herbaceous - shrub-steppe,1
2.6,660682.2163,4595447.915,18991230,18991230,P052,28.232,0.0617,2281.91,0.6541,Herbaceous - shrub-steppe,1
2.6,662717.2605,4589823.846,18991230,18991230,P052,13.681,1.9488,2182.86,0.684,Herbaceous - shrub-steppe,1
2.6,666400.6582,4588198.099,18991230,18991230,P052,24.7369,0.0472,2241.56,0.6963,Herbaceous - shrub-steppe,1
2.6,683795.956,4559434.097,18991230,18991230,P052,19.7975,1.9483,2170.05,1.3173,Herbaceous - shrub-steppe,1
2.6,675022.181,4575283.992,18991230,18991230,P052,30.9169,1.6749,1914.47,1.7379,Herbaceous - shrub-steppe,1
2.6,666398.4361,4588040.307,18991230,18991230,P052,32.8014,1.6504,2189.06,1.7596,Herbaceous - shrub-steppe,1
2.6,675293.9434,4575095.029,18991230,18991230,P052,3.237,0.5417,1928.1,1.8888,Herbaceous - shrub-steppe,1
2.6,660830.5374,4594563.675,18991230,18991230,P052,10.3549,1.4262,2477.45,1.9046,Herbaceous - shrub-steppe,1
2.6,675356.6869,4574855.478,18991230,18991230,P052,4.0315,1.3138,1912.6,1.9495,Herbaceous - shrub-steppe,1
2.6,675054.9486,4574967.066,18991230,18991230,P052,21.1819,0.8918,1928.24,1.9941,Herbaceous - shrub-steppe,1
2.6,675193.7653,4575011.516,18991230,18991230,P052,9.3273,1.0161,1933.44,1.9999,Herbaceous - shrub-steppe,1
2.6,669513.0027,4586464.096,18991230,18991230,P052,10.4383,1.2711,2153.14,0.0375,Open tree canopy,1
2.6,660761.9306,4594568.811,18991230,18991230,P052,18.3341,1.6507,2466.1,1.7593,Open tree canopy,1
2.6,661848.7451,4592439.212,18991230,18991230,P052,18.7202,0.3796,2233.17,1.7843,Open tree canopy,1
2.6,643418.3495,4605709.108,18991230,18991230,P052,0.7255,0.0736,1890.99,1.3765,Shrubland,1
2.6,678990.1601,4563387.233,18991230,18991230,P052,0.9293,1.5477,1804.38,1.8367,Shrubland,1
2.6,643273.1353,4605882.816,18991230,18991230,P052,1.2779,0.4586,1894.49,1.8407,Shrubland,1
2.6,619965.542,4610796.975,18991230,18991230,P052,2.6316,1.1643,2011.23,1.9864,Shrubland,1
2.6,614368.6229,4612855.65,18991230,18991230,P052,34.9523,1.1542,2157.4,1.988,Shrubland,1
2.5,664218.707,4589922.229,18991230,18991230,P052,17.3864,1.2094,2253.66,0.0222,Herbaceous - shrub-steppe,1
2.5,664215.3149,4589924.373,18991230,18991230,P052,16.366,1.3538,2252.86,0.0647,Herbaceous - shrub-steppe,1
2.5,633066.187,4604426.142,18991230,18991230,P052,19.4723,0.5095,2013.34,0.1286,Herbaceous - shrub-steppe,1
2.5,673174.2689,4579325.524,18991230,18991230,P052,20.5403,0.029,2139.62,0.7609,Herbaceous - shrub-steppe,1
2.5,678577.8032,4577094.716,18991230,18991230,P052,18.0826,0.0101,2049.38,0.8581,Herbaceous - shrub-steppe,1
2.5,674440.4782,4577496.226,18991230,18991230,P052,34.061,1.9986,2011.13,1.0529,Herbaceous - shrub-steppe,1
2.5,674428.7619,4577495.944,18991230,18991230,P052,32.6075,1.9965,2004.84,1.0836,Herbaceous - shrub-steppe,1
2.5,662281.4409,4590286.148,18991230,18991230,P052,13.9663,0.066,2254.71,1.3572,Herbaceous - shrub-steppe,1
2.5,674458.0793,4577495.538,18991230,18991230,P052,35.065,1.9316,2023.07,1.3636,Herbaceous - shrub-steppe,1
2.5,665458.5734,4588447.53,18991230,18991230,P052,20.7977,1.9079,2287.9,1.4191,Herbaceous - shrub-steppe,1
2.5,675019.9104,4575273.939,18991230,18991230,P052,29.4188,1.8381,1911.9,1.5455,Herbaceous - shrub-steppe,1
2.5,656905.4867,4599215.922,18991230,18991230,P052,19.7018,1.5282,2014.96,1.8491,Herbaceous - shrub-steppe,1
2.5,632721.1665,4604097.685,18991230,18991230,P052,27.8646,1.3973,2105.62,1.9177,Herbaceous - shrub-steppe,1
2.5,660685.5495,4595485.757,18991230,18991230,P052,28.3172,0.6283,2286.88,1.9284,Herbaceous - shrub-steppe,1
2.5,666384.1282,4588044.421,18991230,18991230,P052,28.7587,0.6702,2196.52,1.9441,Herbaceous - shrub-steppe,1
2.5,644914.322,4605541.386,18991230,18991230,P052,6.7971,0.7427,1909.1,1.9663,Herbaceous - shrub-steppe,1
2.5,634001.7546,4603893.737,18991230,18991230,P052,22.797,1.0492,2062.18,1.9988,Herbaceous - shrub-steppe,1
2.5,615581.6128,4612262.063,18991230,18991230,P052,20.0306,1.0205,2148.76,1.9998,Herbaceous - shrub-steppe,1
2.5,637229.8978,4604782.021,18991230,18991230,P052,41.6324,0.0008,1911.78,1.0389,Open tree canopy,1
2.5,614373.2806,4612772.433,18991230,18991230,P052,31.0436,1.0529,2154.74,1.9986,Open tree canopy,1
2.5,615635.415,4612282.92,18991230,18991230,P052,21.0958,0.8713,2136.07,0.0083,Shrubland,1
2.5,674480.8092,4575399.828,18991230,18991230,P052,30.2547,0.1611,1947.93,0.4558,Shrubland,1
2.5,703618.5155,4551143.487,18991230,18991230,P052,22.231,1.8757,2130.6,0.5171,Shrubland,1
2.5,674517.9626,4575387.39,18991230,18991230,P052,17.6084,1.9349,1939.75,0.645,Shrubland,1
2.5,675010.0211,4575128.174,18991230,18991230,P052,32.3617,0.0018,1926.24,1.0607,Shrubland,1
2.5,637285.2195,4604810.843,18991230,18991230,P052,35.3897,1.4334,1947.02,1.9012,Shrubland,1
2.5,620203.2256,4610483.327,18991230,18991230,P052,5.0019,0.6307,1990.03,1.9293,Shrubland,1
