altid,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,veg_class,used
20015,5/21/2016,20:00,2,1682.78,43.5465,0.124458,0.516859,Shrubland,1
20015,6/14/2016,20:00,2,1552.95,31.4531,1.51116,1.85949,Shrubland,1
20022,6/15/2016,0:02,9.8,1593.85,61.2532,0.0706457,0.630811,Shrubland,1
20022,6/15/2016,4:00,2.2,1701.56,105.669,0.391419,1.79349,Shrubland,1
20022,6/15/2016,8:00,2.4,1737.19,90.631,1.13713,0.0094468,Shrubland,1
20022,6/15/2016,12:00,2.6,1745.07,86.175,1.21782,0.0240118,Shrubland,1
20022,6/16/2016,0:00,4.2,1667.67,56.3696,0.538651,0.112781,Shrubland,1
20022,6/16/2016,4:00,2.2,1762.91,121.193,1.60714,0.205405,Shrubland,1
20022,6/16/2016,8:00,3,1746.75,117.754,0.470054,0.151969,Shrubland,1
20022,6/16/2016,12:00,2,1746.75,117.754,0.470054,0.151969,Shrubland,1
20022,6/17/2016,4:00,3.4,1747.99,114.791,0.687793,0.0499858,Shrubland,1
20034,6/16/2016,0:00,2.2,1603.08,39.308,0.251165,0.337243,Shrubland,1
20038,5/20/2016,20:00,4,1628.83,48.2372,0.521748,0.121777,Shrubland,1
20038,5/21/2016,0:00,3.4,1674.27,89.3742,1.3639,0.0685608,Shrubland,1
20038_17,4/26/2017,20:00,2.2,1553.01,65.146,0.0237547,0.783332,Shrubland,1
20038_17,4/28/2017,0:00,2.2,1589.74,28.9342,0.0620488,1.34677,Shrubland,1
20038_17,4/29/2017,4:00,2.2,1714.97,82.0453,1.19005,1.98177,Shrubland,1
20038_17,4/29/2017,12:00,2.4,1698.56,91.8124,1.03385,1.99943,Shrubland,1
20038_17,5/11/2017,4:00,2.4,1703.59,101.496,0.638755,1.93247,Shrubland,1
20038_17,5/11/2017,8:00,1.6,1703.59,101.496,0.638755,1.93247,Shrubland,1
20038_17,5/11/2017,12:00,2.4,1747.99,103.311,0.682589,1.94829,Shrubland,1
20038_17,5/12/2017,16:01,2.8,1730.21,124.285,0.328959,1.74142,Shrubland,1
22951,5/8/2017,4:00,2,1745.62,119.955,1.313,0.0502452,Shrubland,1
22951,5/8/2017,12:00,2.2,1751.74,62.887,1.05295,0.00140297,Shrubland,1
22951,5/8/2017,20:00,1.8,1624.25,58.289,0.450792,0.164314,Shrubland,1
22951,5/9/2017,20:00,2.2,1657.04,38.0642,0.387835,0.20927,Shrubland,1
22951,5/12/2017,4:00,3,1763.44,43.7797,1.10937,1.994,Shrubland,1
22952,4/29/2017,0:01,4.6,1672.47,35.1497,1.92993,1.36774,Shrubland,1
22952,5/3/2017,8:00,1.8,1713.96,71.193,0.00110316,0.953042,Shrubland,1
22952,5/3/2017,12:00,2.2,1713.96,71.193,0.00110316,0.953042,Shrubland,1
22952,5/3/2017,16:01,2.8,1695.96,65.4518,1.43539,0.0997568,Shrubland,1
22952,5/13/2017,0:00,4.2,1660.03,117.983,1.042,0.000882328,Shrubland,1
22952,5/14/2017,4:00,5,1699.89,130.749,0.910644,0.00400031,Shrubland,1
22952,5/14/2017,8:00,3.6,1699.89,130.749,0.910644,0.00400031,Shrubland,1
22952,5/14/2017,12:00,2.2,1699.89,130.749,0.910644,0.00400031,Shrubland,1
22952,5/16/2017,0:00,3.2,1593.81,50.8314,1.8936,0.551144,Shrubland,1
22952,5/17/2017,4:00,6.2,1747.99,103.311,0.682589,1.94829,Shrubland,1
22952,5/17/2017,8:00,2.2,1755.95,83.0617,0.0153465,0.825479,Shrubland,1
22952,5/17/2017,12:00,1.8,1746.65,92.0952,1.02196,1.99976,Shrubland,1
22952,5/18/2017,8:00,2.4,1698.99,133.313,1.68114,1.73215,Shrubland,1
22952,5/19/2017,4:00,3.4,1747.99,114.791,0.687793,0.0499858,Shrubland,1
22952,5/20/2017,16:00,5.4,1722.9,74.1298,0.000261605,1.02287,Shrubland,1
22952,5/27/2017,0:00,4.2,1673.21,87.7386,1.58535,1.81078,Shrubland,1
22952,5/27/2017,4:00,2.2,1715.51,45.5304,0.715329,1.95863,Shrubland,1
22952,5/27/2017,8:00,2.6,1723.06,101.626,0.554487,0.104724,Shrubland,1
22952,5/27/2017,12:01,3.2,1732.41,84.4665,1.90783,1.41934,Shrubland,1
22952,5/27/2017,16:00,2,1712,40.6566,1.311,0.0495889,Shrubland,1
22952,5/27/2017,20:01,3.8,1663.64,43.5572,0.933106,1.99776,Shrubland,1
20022,6/14/2016,20:00,2.2,1614.18,85.3431,0.0691672,0.634555,Shrubland,1
20022,6/17/2016,8:00,3.6,1821.11,103.819,0.000417352,1.02889,Open Tree Canopy,1
20022,6/17/2016,16:00,2.6,1810.04,104.831,0.153593,1.53254,Shrubland,1
20034,6/14/2016,20:01,3.2,1602.6,31.2627,0.747872,0.0323061,Shrubland,1
20034,6/15/2016,0:00,1.8,1545.61,29.0109,0.951983,1.99885,Shrubland,1
20034,6/16/2016,20:00,2.6,1567.96,120.461,1.992,0.873753,Shrubland,1
20038,5/21/2016,4:00,2,1741,69.2842,0.0905178,0.584257,Shrubland,1
20038,5/21/2016,8:00,2.4,1745,59.4907,0.559683,0.102158,Shrubland,1
20038,5/21/2016,12:00,3.6,1745,59.4907,0.559683,0.102158,Shrubland,1
20038_17,4/16/2017,20:00,2.2,1529.82,34.3795,1.95206,0.694086,Shrubland,1
20038_17,4/20/2017,20:01,3.6,1595.78,54.2696,0.655058,0.061376,Shrubland,1
20038_17,4/26/2017,0:00,2,1598.94,52.1044,0.396659,0.202517,Shrubland,1
20038_17,4/27/2017,0:00,4.2,1601.37,40.8124,7.27E-06,0.996182,Shrubland,1
20038_17,5/10/2017,20:01,2.2,1627.43,83.5453,0.675693,0.0540482,Shrubland,1
20038_17,5/11/2017,0:00,8.2,1607.82,55.9688,0.0343516,0.740148,Shrubland,1
20038_17,5/11/2017,16:00,4.6,1787,70.6056,1.89197,0.547903,Shrubland,1
20038_17,5/12/2017,4:01,2,1763.44,39.4285,0.000431716,1.02938,Shrubland,1
20038_17,5/12/2017,8:00,4.8,1792.99,107.297,1.99959,1.02853,Shrubland,1
20038_17,5/12/2017,12:00,3.8,1783.62,103.926,0.125583,1.48518,Shrubland,1
20038_17,5/13/2017,4:00,2.4,1776.41,70.1286,1.66467,0.252867,Shrubland,1
20038_17,5/13/2017,8:00,2,1783.25,90.7736,1.99952,1.03094,Shrubland,1
20038_17,5/13/2017,12:00,3.8,1781.73,91.0174,1.9497,0.686836,Shrubland,1
20038_17,5/13/2017,16:00,2.8,1802.29,82.797,1.08401,1.99646,Shrubland,1
22951,4/16/2017,20:00,2.6,1525.93,24.9814,1.63696,0.229105,Shrubland,1
22951,4/19/2017,20:00,2.6,1597.86,31.9919,0.6986,0.0465024,Shrubland,1
22951,4/20/2017,20:00,2.8,1595.78,54.2696,0.655058,0.061376,Shrubland,1
22951,5/8/2017,0:00,4,1789.07,81.0904,0.156119,1.53653,Shrubland,1
22951,5/8/2017,8:00,2.4,1781.27,44.6463,1.83361,1.55235,Shrubland,1
22951,5/8/2017,16:00,1.8,1774.04,84.2471,0.897128,0.00530541,Shrubland,1
22951,5/10/2017,0:00,4,1631.22,70.3483,1.40471,0.0855557,Shrubland,1
22951,5/10/2017,20:00,2,1602.8,38.5258,0.480202,0.145711,Shrubland,1
22951,5/12/2017,8:00,2.8,1803.77,100.678,0.00418752,1.09142,Shrubland,1
22951,5/12/2017,12:00,2.2,1782.11,97.7366,1.89174,0.54745,Shrubland,1
22951,5/12/2017,16:01,4.4,1775.93,77.6665,0.0053277,1.10309,Shrubland,1
22951,5/13/2017,4:00,3.2,1776.41,70.1286,1.66467,0.252867,Shrubland,1
22951,5/13/2017,8:00,2,1783.25,90.7736,1.99952,1.03094,Shrubland,1
22951,5/13/2017,12:00,4,1792.94,96.8162,1.88975,0.543543,Shrubland,1
22951,5/13/2017,16:00,2.2,1794.98,91.8782,0.580597,1.9078,Shrubland,1
22952,4/30/2017,0:00,4.8,1667.54,64.8554,0.487836,0.141112,Shrubland,1
22952,5/12/2017,20:00,2.6,1739.64,57.7586,1.9424,1.33448,Shrubland,1
22952,5/13/2017,4:00,2,1776.41,70.1286,1.66467,0.252867,Shrubland,1
22952,5/13/2017,8:00,2.6,1783.25,90.7736,1.99952,1.03094,Shrubland,1
22952,5/13/2017,12:00,3.8,1781.73,91.0174,1.9497,0.686836,Shrubland,1
22952,5/13/2017,16:01,2.4,1794.98,91.8782,0.580597,1.9078,Shrubland,1
22952,5/15/2017,0:00,3.4,1658.74,37.4389,1.82765,0.438756,Open Tree Canopy,1
22952,5/15/2017,16:00,2.2,1819.56,80.8929,1.70687,0.292659,Shrubland,1
22952,5/16/2017,4:00,2.2,1778.9,82.8179,0.600074,0.0834526,Shrubland,1
22952,5/16/2017,8:00,3.6,1771.27,135.036,0.546588,0.108699,Shrubland,1
22952,5/16/2017,12:00,3.2,1771.27,135.036,0.546588,0.108699,Shrubland,1
22952,5/16/2017,16:00,3.8,1833,113.801,1.02433,0.000295997,Shrubland,1
22952,5/19/2017,8:00,2.8,1768.75,66.4145,0.0160168,0.821739,Shrubland,1
22952,5/19/2017,12:00,2.8,1768.75,66.4145,0.0160168,0.821739,Shrubland,1
22952,5/19/2017,16:00,4.8,1833.75,66.8042,0.764123,0.0282171,Shrubland,1
22952,5/23/2017,20:00,3,1575.02,61.5046,1.21578,1.97644,Shrubland,1
22952,5/24/2017,16:01,2.6,1611.67,92.3869,0.112653,0.538898,Shrubland,1
22952,5/25/2017,0:00,3.4,1651.13,86.1861,1.02831,0.00040096,Shrubland,1
22952,5/25/2017,4:00,4.8,1744.15,57.8651,1.82435,1.56608,Shrubland,1
20015,5/18/2016,0:00,4.6,1676.79,63.2766,0.169448,1.55694,Shrubland,1
20015,5/21/2016,8:00,2.6,1727.2,51.5507,1.98057,1.19615,Shrubland,1
20015,5/21/2016,12:00,4,1870.44,98.7876,0.280327,0.305687,Shrubland,1
20015,5/21/2016,16:00,2.2,1863.34,92.6455,1.33933,1.94067,Shrubland,1
20015,5/22/2016,0:01,3.4,1712.41,59.165,0.0088346,0.867368,Shrubland,1
20015,6/12/2016,20:00,2,1562.4,17.7572,1.2723,1.96221,Shrubland,1
20015,6/13/2016,20:00,2.8,1564.67,15.2698,1.76993,0.361867,Shrubland,1
20022,6/13/2016,20:00,2.6,1643.98,44.0942,1.54456,0.161276,Shrubland,1
20022,6/17/2016,12:00,2.6,1854.43,93.8444,1.157,1.9876,Shrubland,1
20022,6/18/2016,0:00,2.8,1586.94,41.1161,1.99514,0.901505,Shrubland,1
20034,6/12/2016,20:00,2.4,1561.88,11.8259,1.38057,1.92475,Shrubland,1
20034,6/13/2016,20:00,2,1584.12,35.7555,0.881299,0.00707,Shrubland,1
20034,6/17/2016,0:01,6.2,1603.42,61.3114,1.97843,1.20657,Shrubland,1
20038,4/24/2016,0:00,2,1746.6,105.384,0.446436,0.167193,Shrubland,1
20038,4/24/2016,4:00,4.4,1821.03,102.436,1.99968,1.02518,Shrubland,1
20038,4/24/2016,8:01,4,1821.03,102.436,1.99968,1.02518,Shrubland,1
20038,4/24/2016,12:00,3.2,1821.03,102.436,1.99968,1.02518,Shrubland,1
20038,5/20/2016,0:00,5.2,1677.22,49.3732,1.40532,0.0858238,Shrubland,1
20038,5/20/2016,16:01,3.6,1700.91,73.3964,1.833,0.446724,Shrubland,1
20038_17,4/20/2017,0:00,2.4,1604.53,81.701,0.637951,1.93216,Shrubland,1
20038_17,4/26/2017,4:00,3,1676.07,133.069,0.130754,0.50562,Shrubland,1
20038_17,4/26/2017,8:00,2.8,1687.05,93.0621,0.629809,0.0710444,Shrubland,1
20038_17,4/26/2017,12:00,5.2,1687.05,93.0621,0.629809,0.0710444,Shrubland,1
20038_17,4/26/2017,16:00,2.4,1665.02,73.3076,0.502777,0.132377,Shrubland,1
20038_17,4/27/2017,4:00,5.4,1748.17,77.1384,1.93469,1.35546,Shrubland,1
20038_17,4/27/2017,8:00,3.6,1755.25,47.6436,0.427406,1.81984,Shrubland,1
20038_17,4/27/2017,12:00,3,1758.14,39.8528,0.368689,1.77553,Shrubland,1
20038_17,4/27/2017,16:00,2.6,1666.57,62.2274,1.95908,1.28315,Shrubland,1
20038_17,4/28/2017,12:00,2.8,1732.78,33.3245,1.5008,0.134437,Shrubland,1
20038_17,4/28/2017,16:03,5.8,1729.2,74.1568,0.0912691,0.582618,Shrubland,1
20038_17,5/10/2017,4:00,2.8,1755.25,47.6436,0.427406,1.81984,Shrubland,1
22951,4/20/2017,0:00,2.2,1603.06,81.3819,1.99941,1.03426,Shrubland,1
22951,5/9/2017,16:00,4.4,1688.73,54.5656,0.0144626,0.830542,Shrubland,1
22951,5/10/2017,16:00,4.6,1673.96,65.0106,1.04596,1.99894,Shrubland,1
22951,5/11/2017,0:00,2.4,1598.16,43.3761,0.266765,1.67998,Shrubland,1
22952,4/30/2017,4:00,2.2,1771.16,54.6712,1.64726,0.23773,Shrubland,1
22952,4/30/2017,8:00,4.6,1775.55,85.449,1.85738,0.485312,Shrubland,1
22952,4/30/2017,12:00,2.2,1768.35,52.9342,1.62999,0.223401,Shrubland,1
22952,5/1/2017,0:00,2.6,1758.63,172.803,1.52335,0.147882,Shrubland,1
22952,5/4/2017,0:00,3,1751.09,64.6241,1.32229,1.94664,Shrubland,1
22952,5/15/2017,4:00,4,1819.5,63.2448,1.99233,1.12366,Shrubland,1
22952,5/15/2017,8:00,5.4,1858.76,52.8176,1.98451,0.824651,Herbaceous-Shrub Steppe,1
22952,5/21/2017,0:00,3.2,1543.12,55.5171,0.280865,1.69487,Shrubland,1
22952,5/21/2017,16:00,2.2,1557.46,25.1064,1.84223,0.46088,Shrubland,1
22952,5/21/2017,20:00,2.6,1551.03,19.9929,1.47344,0.119172,Shrubland,1
22952,5/23/2017,0:00,2.6,1586.76,49.2794,1.08371,0.00350946,Shrubland,1
22952,5/26/2017,4:00,3.2,1863.34,92.6455,1.33933,1.94067,Shrubland,1
22952,5/26/2017,8:00,4,1855.23,103.75,0.307246,0.278826,Shrubland,1
22952,5/26/2017,12:00,2.8,1869.1,108.142,1.51304,0.141637,Shrubland,1
22952,5/26/2017,16:00,3.2,1882.62,40.4792,0.657847,0.0603558,Shrubland,1
20015,5/17/2016,0:00,3,1688.2,50.2136,0.454235,0.162062,Shrubland,1
20015,5/21/2016,4:00,4.6,1765.56,159.3,1.99074,0.864237,Shrubland,1
20015,6/13/2016,16:00,2.6,1640.02,45.6342,1.98036,1.19722,Shrubland,1
20015,6/14/2016,0:00,1.8,1568.17,18.5091,1.89827,0.560547,Shrubland,1
20022,6/12/2016,20:00,2,1579.97,40.7976,0.26916,1.68255,Shrubland,1
20022,6/13/2016,0:00,3.6,1632.6,46.7207,1.95368,1.30082,Shrubland,1
20022,6/13/2016,4:00,2.2,1788.73,82.865,1.37726,0.0738941,Shrubland,1
20022,6/13/2016,8:00,4,1771.95,96.681,0.561644,1.8988,Shrubland,1
20022,6/13/2016,12:00,3.8,1763.6,90.7843,0.652009,1.9375,Shrubland,1
20022,6/13/2016,16:00,2,1704.13,81.782,1.51219,1.85888,Shrubland,1
20022,6/14/2016,0:00,1.8,1571.68,37.625,0.000235975,0.978276,Shrubland,1
20022,6/25/2016,20:00,1.6,1488.42,3.51568,0.866526,0.00894767,Shrubland,1
20034,6/14/2016,4:00,3.2,1694.35,52.0777,1.19131,0.01847,Shrubland,1
20034,6/14/2016,8:00,3.4,1698.5,58.7901,0.582329,0.0914015,Shrubland,1
20034,6/14/2016,12:00,1.8,1781.81,93.3382,0.436977,1.82644,Shrubland,1
20034,6/14/2016,16:00,2.8,1723.36,52.0092,0.907865,0.00425351,Shrubland,1
20034,6/15/2016,4:00,4.2,1692.71,63.6546,0.711863,0.0424107,Shrubland,1
20034,6/15/2016,16:00,1.8,1778.02,61.8125,1.99254,0.878069,Shrubland,1
20034,6/16/2016,4:00,4,1749.01,73.8266,1.95283,1.3035,Shrubland,1
20034,6/16/2016,8:00,3,1769.94,71.3466,0.0296801,1.24183,Shrubland,1
20034,6/16/2016,12:00,2.4,1769.94,71.3466,0.0296801,1.24183,Shrubland,1
20034,6/16/2016,16:00,2.4,1813.56,113.073,0.300692,1.71482,Shrubland,1
20034,6/17/2016,4:00,4.4,1747.2,73.0403,0.0887897,0.588058,Shrubland,1
20034,6/17/2016,8:00,3.4,1738.13,71.5087,0.089055,0.587472,Shrubland,1
20034,6/17/2016,12:00,2.4,1747.2,73.0403,0.0887897,0.588058,Shrubland,1
20034,6/17/2016,16:00,1.6,1779.64,47.1162,0.234496,1.64343,Shrubland,1
20034,6/18/2016,20:00,2.6,1503.14,29.571,0.474077,0.149468,Shrubland,1
20034,6/19/2016,20:00,2,1597.42,22.5826,0.239687,1.64956,Shrubland,1
20034,6/20/2016,0:00,4.8,1585.29,44.7112,1.49913,1.86653,Shrubland,1
20038,4/22/2016,8:00,2.4,1944.4,108.903,1.89352,1.44903,Shrubland,1
20038,4/22/2016,12:00,1.8,1956.66,102.925,1.8445,1.53555,Shrubland,1
20038,4/22/2016,20:00,2.2,1825.3,71.4102,1.99872,0.94944,Shrubland,1
20038,4/23/2016,0:00,2,1786.3,40.4969,0.213452,0.382471,Shrubland,1
20038,4/23/2016,20:00,2.2,1755.29,86.8514,0.187029,0.417695,Shrubland,1
20038,4/30/2016,0:00,2.8,1635.54,57.8128,1.9791,1.20339,Shrubland,1
20038,5/20/2016,4:00,2.4,1776.49,73.327,1.11595,0.00674546,Shrubland,1
20038,5/20/2016,8:00,1.6,1776.49,73.327,1.11595,0.00674546,Shrubland,1
20038,5/20/2016,12:00,1.8,1776.49,73.327,1.11595,0.00674546,Shrubland,1
20038_17,4/15/2017,0:00,2.6,1628.71,66.3076,0.190311,0.413141,Shrubland,1
20038_17,4/19/2017,0:00,2.2,1751.72,64.8747,0.49679,0.135836,Shrubland,1
20038_17,4/19/2017,4:00,2.4,1770.56,66.4602,1.43585,1.90002,Shrubland,1
20038_17,4/20/2017,4:00,2.6,1761.97,58.3216,0.616189,0.0765885,Shrubland,1
20038_17,4/20/2017,8:00,1.6,1761.97,58.3216,0.616189,0.0765885,Shrubland,1
20038_17,4/20/2017,12:00,2.8,1732.83,82.8589,0.00769001,1.12378,Shrubland,1
20038_17,4/20/2017,16:00,1.8,1781.81,93.3382,0.436977,1.82644,Shrubland,1
20038_17,4/21/2017,0:01,4.8,1624.66,54.6943,1.74273,1.6696,Shrubland,1
20038_17,4/25/2017,16:00,2.4,1550.54,39.2075,1.44071,1.89765,Shrubland,1
20038_17,4/25/2017,20:01,2,1579.95,27.5718,1.41765,1.90861,Shrubland,1
20038_17,4/28/2017,4:00,3.4,1754.92,70.6011,0.121801,1.4783,Shrubland,1
20038_17,4/28/2017,8:00,3.6,1770.56,66.4602,1.43585,1.90002,Shrubland,1
20038_17,4/28/2017,20:01,5,1823.25,124.446,0.799906,1.97978,Shrubland,1
20038_17,4/29/2017,16:00,2.4,1815.76,47.3071,1.62303,1.7822,Shrubland,1
20038_17,4/29/2017,20:00,3,1800.23,43.3478,1.23356,1.97234,Shrubland,1
20038_17,5/10/2017,0:00,4,1751.59,88.3844,1.70615,0.291939,Shrubland,1
20038_17,5/10/2017,8:00,3.8,1831.38,97.1199,0.410185,1.80754,Shrubland,1
20038_17,5/10/2017,12:00,2.8,1820,142.802,1.97845,0.793528,Shrubland,1
20038_17,5/10/2017,16:00,4.6,1767.64,68.6544,1.15655,1.98767,Shrubland,1
22951,4/15/2017,20:01,2.8,1607.44,69.0751,1.1454,1.98937,Shrubland,1
22951,4/19/2017,0:00,1.6,1757.11,42.0173,0.625099,0.0729351,Shrubland,1
22951,4/19/2017,4:00,3,1770.56,66.4602,1.43585,1.90002,Shrubland,1
22951,4/20/2017,4:00,2.4,1756.19,70.2045,0.528914,0.117913,Shrubland,1
22951,4/20/2017,8:00,2,1756.19,70.2045,0.528914,0.117913,Shrubland,1
22951,4/20/2017,12:00,4.6,1797.87,71.5516,1.12682,0.00807446,Shrubland,1
22951,4/20/2017,16:00,1.6,1781.81,93.3382,0.436977,1.82644,Shrubland,1
22951,4/21/2017,0:00,4.2,1624.66,54.6943,1.74273,1.6696,Shrubland,1
22951,4/26/2017,20:00,2,1510.63,23.3059,1.0353,0.000623405,Shrubland,1
22951,4/27/2017,20:00,4.2,1616.33,36.949,1.37572,1.92673,Shrubland,1
22951,5/9/2017,0:00,4,1691.14,90.3413,1.39641,1.91807,Shrubland,1
22951,5/9/2017,4:00,2.4,1756.19,70.2045,0.528914,0.117913,Shrubland,1
22951,5/9/2017,8:00,3.6,1756.19,70.2045,0.528914,0.117913,Shrubland,1
22951,5/9/2017,12:00,2.2,1760.14,67.0051,0.263322,1.67624,Shrubland,1
22951,5/10/2017,4:00,2.6,1728.2,62.8431,1.00185,1.73E-06,Shrubland,1
22951,5/10/2017,8:00,1.8,1744.74,71.952,0.094831,0.574948,Shrubland,1
22951,5/10/2017,12:01,4.4,1756.19,70.2045,0.528914,0.117913,Shrubland,1
22951,5/11/2017,4:01,2.4,1698.5,58.7901,0.582329,0.0914015,Shrubland,1
22951,5/11/2017,8:01,3,1698.5,58.7901,0.582329,0.0914015,Shrubland,1
22951,5/11/2017,12:00,2,1698.5,58.7901,0.582329,0.0914015,Shrubland,1
22951,5/11/2017,16:01,3.4,1724.4,86.4876,0.942959,1.99837,Shrubland,1
22952,4/27/2017,12:01,3.8,1822.72,89.8858,1.47057,0.117638,Shrubland,1
22952,4/27/2017,16:00,3,1808.52,79.6334,1.24654,0.0308676,Shrubland,1
22952,4/27/2017,20:00,7.4,1837.37,57.9301,0.18554,0.41978,Shrubland,1
22952,4/28/2017,0:00,4.4,1841.09,67.3076,0.692423,1.95152,Shrubland,1
22952,4/28/2017,4:01,4.4,1905.24,93.9227,1.89261,1.45082,Shrubland,1
22952,4/28/2017,8:00,3,1905.24,93.9227,1.89261,1.45082,Shrubland,1
22952,4/28/2017,12:00,2.4,1914.18,92.3962,1.98114,1.1933,Shrubland,1
22952,4/28/2017,16:00,2.8,1913.02,81.7537,1.88308,1.46922,Shrubland,1
22952,4/29/2017,4:00,4.4,1903.23,79.195,1.98213,0.811818,Shrubland,1
22952,4/29/2017,8:00,2.2,1910.6,82.4975,1.93526,1.35396,Shrubland,1
22952,4/29/2017,12:00,2.2,1913.02,81.7537,1.88308,1.46922,Shrubland,1
