PRISM Time Series Data
Location:  Lat: 39.5322   Lon: -119.7975   Elev: 4505ft
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-11 - 2016-10
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2016-Nov-21
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,tmean (degrees F)
1925-03, 43.9
1925-04, 50.3
1925-05, 58.5
1925-06, 64.6
1925-07, 72.9
1925-08, 67.3
1925-09, 57.4
1925-10, 48.7
1925-11, 39.4
1925-12, 34.9
1926-01, 31.4
1926-02, 39.0
1926-03, 47.0
1926-04, 54.0
1926-05, 57.1
1926-06, 69.5
1926-07, 72.6
1926-08, 69.3
1926-09, 59.0
1926-10, 52.2
1926-11, 46.1
1926-12, 33.0
1927-01, 35.2
1927-02, 38.6
1927-03, 42.9
1927-04, 47.5
1927-05, 54.7
1927-06, 65.5
1927-07, 71.7
1927-08, 68.1
1927-09, 59.2
1927-10, 52.2
1927-11, 45.1
1927-12, 31.1
1928-01, 33.8
1928-02, 37.2
1928-03, 46.1
1928-04, 48.0
1928-05, 62.7
1928-06, 64.7
1928-07, 71.8
1928-08, 69.6
1928-09, 62.8
1928-10, 51.2
1928-11, 41.4
1928-12, 30.7
1929-01, 31.5
1929-02, 33.2
1929-03, 42.8
1929-04, 44.0
1929-05, 57.9
1929-06, 62.6
1929-07, 73.2
1929-08, 73.7
1929-09, 60.8
1929-10, 53.2
1929-11, 41.1
1929-12, 41.6
1930-01, 27.2
1930-02, 40.8
1930-03, 43.7
1930-04, 51.1
1930-05, 52.5
1930-06, 65.7
1930-07, 72.4
1930-08, 69.5
1930-09, 60.0
1930-10, 49.7
1930-11, 39.8
1930-12, 30.8
1931-01, 33.2
1931-02, 39.4
1931-03, 44.7
1931-04, 50.9
1931-05, 60.5
1931-06, 63.8
1931-07, 76.2
1931-08, 73.5
1931-09, 60.2
1931-10, 52.4
1931-11, 37.4
1931-12, 29.4
1932-01, 29.7
1932-02, 30.3
1932-03, 44.1
1932-04, 47.7
1932-05, 55.8
1932-06, 66.7
1932-07, 70.0
1932-08, 68.8
1932-09, 64.5
1932-10, 51.4
1932-11, 45.2
1932-12, 26.5
1933-01, 28.5
1933-02, 26.6
1933-03, 42.6
1933-04, 47.7
1933-05, 50.1
1933-06, 64.5
1933-07, 74.4
1933-08, 71.4
1933-09, 61.8
1933-10, 57.8
1933-11, 41.7
1933-12, 37.4
1934-01, 38.0
1934-02, 40.9
1934-03, 51.2
1934-04, 54.3
1934-05, 60.1
1934-06, 63.1
1934-07, 71.8
1934-08, 72.8
1934-09, 63.0
1934-10, 53.6
1934-11, 44.1
1934-12, 34.8
1935-01, 31.1
1935-02, 37.5
1935-03, 37.1
1935-04, 47.6
1935-05, 54.8
1935-06, 66.5
1935-07, 69.4
1935-08, 71.2
1935-09, 65.8
1935-10, 49.1
1935-11, 35.4
1935-12, 32.4
1936-01, 35.3
1936-02, 35.8
1936-03, 43.5
1936-04, 51.1
1936-05, 56.9
1936-06, 64.5
1936-07, 73.9
1936-08, 71.1
1936-09, 62.0
1936-10, 53.2
1936-11, 40.7
1936-12, 32.8
1937-01, 15.8
1937-02, 32.8
1937-03, 42.2
1937-04, 45.9
1937-05, 57.6
1937-06, 62.6
1937-07, 71.9
1937-08, 69.1
1937-09, 62.7
1937-10, 52.1
1937-11, 43.6
1937-12, 36.1
1938-01, 35.5
1938-02, 32.6
1938-03, 38.8
1938-04, 47.7
1938-05, 55.1
1938-06, 64.7
1938-07, 70.1
1938-08, 69.4
1938-09, 63.3
1938-10, 50.0
1938-11, 35.8
1938-12, 35.5
1939-01, 35.6
1939-02, 32.1
1939-03, 43.1
1939-04, 52.4
1939-05, 56.7
1939-06, 62.2
1939-07, 72.5
1939-08, 73.6
1939-09, 62.8
1939-10, 50.5
1939-11, 44.2
1939-12, 39.7
1940-01, 33.5
1940-02, 39.4
1940-03, 43.7
1940-04, 48.1
1940-05, 59.7
1940-06, 69.0
1940-07, 68.9
1940-08, 71.1
1940-09, 59.6
1940-10, 52.7
1940-11, 38.7
1940-12, 36.8
1941-01, 35.9
1941-02, 40.5
1941-03, 42.8
1941-04, 44.9
1941-05, 55.5
1941-06, 60.8
1941-07, 71.5
1941-08, 66.9
1941-09, 56.7
1941-10, 48.7
1941-11, 42.7
1941-12, 36.0
1942-01, 26.8
1942-02, 34.3
1942-03, 39.7
1942-04, 47.3
1942-05, 51.0
1942-06, 60.5
1942-07, 71.4
1942-08, 69.4
1942-09, 61.1
1942-10, 52.2
1942-11, 41.9
1942-12, 36.8
1943-01, 34.2
1943-02, 38.9
1943-03, 43.4
1943-04, 50.6
1943-05, 55.4
1943-06, 57.3
1943-07, 70.5
1943-08, 65.7
1943-09, 64.6
1943-10, 51.2
1943-11, 40.6
1943-12, 31.5
1944-01, 31.5
1944-02, 34.6
1944-03, 39.1
1944-04, 43.6
1944-05, 55.2
1944-06, 57.8
1944-07, 68.2
1944-08, 66.8
1944-09, 62.1
1944-10, 53.1
1944-11, 37.9
1944-12, 33.9
1945-01, 32.9
1945-02, 37.6
1945-03, 37.4
1945-04, 45.9
1945-05, 53.8
1945-06, 61.0
1945-07, 72.3
1945-08, 68.8
1945-09, 61.8
1945-10, 54.3
1945-11, 40.8
1945-12, 33.4
1946-01, 33.3
1946-02, 34.2
1946-03, 41.4
1946-04, 49.7
1946-05, 56.0
1946-06, 61.4
1946-07, 70.3
1946-08, 70.7
1946-09, 60.5
1946-10, 46.7
1946-11, 37.7
1946-12, 36.0
1947-01, 31.2
1947-02, 41.7
1947-03, 44.0
1947-04, 48.6
1947-05, 60.6
1947-06, 61.0
1947-07, 67.3
1947-08, 66.5
1947-09, 62.5
1947-10, 52.3
1947-11, 36.1
1947-12, 33.3
1948-01, 36.2
1948-02, 33.2
1948-03, 36.2
1948-04, 44.9
1948-05, 51.9
1948-06, 62.0
1948-07, 68.2
1948-08, 66.3
1948-09, 61.5
1948-10, 51.6
1948-11, 39.2
1948-12, 27.9
1949-01, 15.8
1949-02, 30.1
1949-03, 40.6
1949-04, 52.3
1949-05, 55.7
1949-06, 64.7
1949-07, 70.8
1949-08, 67.5
1949-09, 62.3
1949-10, 48.6
1949-11, 45.8
1949-12, 33.3
1950-01, 30.1
1950-02, 39.3
1950-03, 39.8
1950-04, 49.5
1950-05, 55.4
1950-06, 62.6
1950-07, 72.0
1950-08, 70.1
1950-09, 62.1
1950-10, 54.4
1950-11, 46.3
1950-12, 39.3
1951-01, 34.6
1951-02, 38.1
1951-03, 40.1
1951-04, 51.0
1951-05, 54.2
1951-06, 64.6
1951-07, 71.7
1951-08, 68.6
1951-09, 64.6
1951-10, 48.2
1951-11, 41.0
1951-12, 31.6
1952-01, 27.2
1952-02, 36.5
1952-03, 35.3
1952-04, 49.7
1952-05, 56.7
1952-06, 60.5
1952-07, 71.6
1952-08, 69.4
1952-09, 63.6
1952-10, 56.7
1952-11, 36.1
1952-12, 34.5
1953-01, 40.4
1953-02, 36.8
1953-03, 41.3
1953-04, 46.8
1953-05, 48.3
1953-06, 58.6
1953-07, 71.9
1953-08, 67.5
1953-09, 65.9
1953-10, 50.9
1953-11, 43.7
1953-12, 34.5
1954-01, 35.7
1954-02, 40.7
1954-03, 38.1
1954-04, 51.8
1954-05, 60.1
1954-06, 61.4
1954-07, 71.3
1954-08, 65.8
1954-09, 60.6
1954-10, 51.1
1954-11, 43.5
1954-12, 31.6
1955-01, 25.2
1955-02, 32.7
1955-03, 38.5
1955-04, 42.4
1955-05, 54.0
1955-06, 63.0
1955-07, 67.7
1955-08, 71.5
1955-09, 62.2
1955-10, 52.9
1955-11, 40.7
1955-12, 37.0
1956-01, 34.8
1956-02, 27.2
1956-03, 41.9
1956-04, 46.8
1956-05, 55.1
1956-06, 62.8
1956-07, 69.9
1956-08, 66.6
1956-09, 62.9
1956-10, 49.3
1956-11, 38.5
1956-12, 32.2
1957-01, 25.5
1957-02, 38.8
1957-03, 42.7
1957-04, 46.3
1957-05, 53.6
1957-06, 65.8
1957-07, 70.0
1957-08, 68.4
1957-09, 63.1
1957-10, 48.2
1957-11, 37.7
1957-12, 35.9
1958-01, 34.4
1958-02, 41.6
1958-03, 36.7
1958-04, 45.1
1958-05, 59.4
1958-06, 62.1
1958-07, 69.5
1958-08, 73.0
1958-09, 62.3
1958-10, 54.3
1958-11, 40.8
1958-12, 39.9
1959-01, 37.8
1959-02, 34.1
1959-03, 44.1
1959-04, 51.2
1959-05, 52.2
1959-06, 68.0
1959-07, 76.1
1959-08, 70.7
1959-09, 59.6
1959-10, 52.9
1959-11, 41.5
1959-12, 31.2
1960-01, 27.4
1960-02, 36.2
1960-03, 44.6
1960-04, 48.3
1960-05, 52.5
1960-06, 69.4
1960-07, 74.6
1960-08, 70.6
1960-09, 66.0
1960-10, 52.8
1960-11, 40.7
1960-12, 33.3
1961-01, 35.2
1961-02, 40.8
1961-03, 41.7
1961-04, 47.8
1961-05, 54.0
1961-06, 69.2
1961-07, 73.2
1961-08, 72.0
1961-09, 60.4
1961-10, 50.6
1961-11, 37.2
1961-12, 32.6
1962-01, 27.1
1962-02, 33.6
1962-03, 38.0
1962-04, 52.8
1962-05, 51.9
1962-06, 62.7
1962-07, 70.0
1962-08, 67.7
1962-09, 64.6
1962-10, 52.3
1962-11, 43.2
1962-12, 35.3
1963-01, 29.1
1963-02, 44.3
1963-03, 40.1
1963-04, 41.3
1963-05, 57.0
1963-06, 59.6
1963-07, 67.8
1963-08, 66.5
1963-09, 64.0
1963-10, 54.0
1963-11, 40.4
1963-12, 35.0
1964-01, 32.0
1964-02, 33.5
1964-03, 37.1
1964-04, 45.0
1964-05, 51.7
1964-06, 61.1
1964-07, 71.5
1964-08, 70.6
1964-09, 59.3
1964-10, 56.6
1964-11, 37.7
1964-12, 37.1
1965-01, 32.4
1965-02, 39.4
1965-03, 42.5
1965-04, 48.9
1965-05, 53.9
1965-06, 62.5
1965-07, 70.1
1965-08, 67.4
1965-09, 57.0
1965-10, 54.3
1965-11, 42.4
1965-12, 30.1
1966-01, 31.9
1966-02, 33.7
1966-03, 43.0
1966-04, 50.8
1966-05, 60.8
1966-06, 63.6
1966-07, 69.8
1966-08, 72.3
1966-09, 62.6
1966-10, 50.7
1966-11, 42.2
1966-12, 34.2
1967-01, 35.5
1967-02, 39.1
1967-03, 41.0
1967-04, 39.5
1967-05, 55.0
1967-06, 59.8
1967-07, 73.5
1967-08, 72.6
1967-09, 63.7
1967-10, 52.6
1967-11, 44.5
1967-12, 27.9
1968-01, 31.9
1968-02, 41.1
1968-03, 43.0
1968-04, 45.8
1968-05, 53.7
1968-06, 66.2
1968-07, 73.4
1968-08, 65.2
1968-09, 61.4
1968-10, 51.5
1968-11, 40.9
1968-12, 31.3
1969-01, 36.1
1969-02, 33.2
1969-03, 39.7
1969-04, 47.8
1969-05, 58.6
1969-06, 62.6
1969-07, 71.3
1969-08, 70.3
1969-09, 64.7
1969-10, 46.6
1969-11, 41.3
1969-12, 37.0
1970-01, 36.4
1970-02, 41.0
1970-03, 42.2
1970-04, 43.5
1970-05, 57.2
1970-06, 65.1
1970-07, 73.5
1970-08, 71.9
1970-09, 58.5
1970-10, 49.3
1970-11, 44.9
1970-12, 30.0
1971-01, 33.1
1971-02, 37.4
1971-03, 40.4
1971-04, 45.6
1971-05, 51.7
1971-06, 62.2
1971-07, 71.8
1971-08, 72.1
1971-09, 60.6
1971-10, 47.0
1971-11, 38.8
1971-12, 28.0
1972-01, 26.4
1972-02, 39.2
1972-03, 47.5
1972-04, 46.5
1972-05, 56.9
1972-06, 65.6
1972-07, 71.9
1972-08, 69.2
1972-09, 59.0
1972-10, 49.2
1972-11, 38.0
1972-12, 26.2
1973-01, 28.2
1973-02, 37.0
1973-03, 38.2
1973-04, 47.2
1973-05, 59.1
1973-06, 65.3
1973-07, 70.4
1973-08, 68.5
1973-09, 59.5
1973-10, 50.0
1973-11, 42.0
1973-12, 38.3
1974-01, 31.3
1974-02, 36.0
1974-03, 43.3
1974-04, 45.3
1974-05, 55.6
1974-06, 67.3
1974-07, 70.3
1974-08, 67.4
1974-09, 63.0
1974-10, 50.4
1974-11, 40.8
1974-12, 32.0
1975-01, 32.2
1975-02, 33.4
1975-03, 38.9
1975-04, 39.3
1975-05, 53.5
1975-06, 63.1
1975-07, 71.0
1975-08, 65.3
1975-09, 64.7
1975-10, 49.9
1975-11, 39.3
1975-12, 35.6
1976-01, 32.9
1976-02, 35.1
1976-03, 38.6
1976-04, 44.6
1976-05, 57.7
1976-06, 61.5
1976-07, 69.7
1976-08, 62.6
1976-09, 62.3
1976-10, 51.7
1976-11, 43.8
1976-12, 32.8
1977-01, 31.5
1977-02, 39.9
1977-03, 37.7
1977-04, 50.5
1977-05, 48.2
1977-06, 68.4
1977-07, 70.4
1977-08, 71.0
1977-09, 61.4
1977-10, 52.5
1977-11, 42.5
1977-12, 38.7
1978-01, 36.6
1978-02, 38.2
1978-03, 46.8
1978-04, 45.5
1978-05, 52.6
1978-06, 61.8
1978-07, 69.8
1978-08, 68.1
1978-09, 57.8
1978-10, 54.7
1978-11, 36.8
1978-12, 26.5
1979-01, 28.2
1979-02, 35.9
1979-03, 42.1
1979-04, 46.5
1979-05, 56.9
1979-06, 63.5
1979-07, 69.8
1979-08, 68.1
1979-09, 64.2
1979-10, 54.4
1979-11, 38.3
1979-12, 35.8
1980-01, 36.7
1980-02, 40.1
1980-03, 38.6
1980-04, 49.1
1980-05, 53.9
1980-06, 60.2
1980-07, 71.1
1980-08, 68.2
1980-09, 62.5
1980-10, 51.7
1980-11, 42.1
1980-12, 36.7
1981-01, 36.7
1981-02, 38.4
1981-03, 41.5
1981-04, 50.0
1981-05, 57.2
1981-06, 67.8
1981-07, 69.1
1981-08, 70.6
1981-09, 65.4
1981-10, 47.3
1981-11, 43.1
1981-12, 39.0
1982-01, 28.3
1982-02, 39.3
1982-03, 40.4
1982-04, 43.3
1982-05, 55.2
1982-06, 61.8
1982-07, 70.0
1982-08, 69.3
1982-09, 58.3
1982-10, 47.3
1982-11, 36.7
1982-12, 32.7
1983-01, 34.0
1983-02, 38.5
1983-03, 40.5
1983-04, 43.4
1983-05, 53.2
1983-06, 62.5
1983-07, 66.8
1983-08, 69.8
1983-09, 63.3
1983-10, 53.9
1983-11, 41.0
1983-12, 37.9
1984-01, 31.9
1984-02, 36.9
1984-03, 44.3
1984-04, 45.5
1984-05, 58.9
1984-06, 61.7
1984-07, 73.4
1984-08, 70.3
1984-09, 63.4
1984-10, 46.8
1984-11, 39.4
1984-12, 30.8
1985-01, 30.5
1985-02, 35.7
1985-03, 38.2
1985-04, 52.4
1985-05, 56.6
1985-06, 68.7
1985-07, 73.9
1985-08, 68.8
1985-09, 57.8
1985-10, 50.5
1985-11, 35.0
1985-12, 31.0
1986-01, 40.0
1986-02, 41.6
1986-03, 47.4
1986-04, 48.9
1986-05, 56.2
1986-06, 67.9
1986-07, 69.4
1986-08, 73.3
1986-09, 56.8
1986-10, 51.2
1986-11, 43.5
1986-12, 35.0
1987-01, 30.9
1987-02, 37.5
1987-03, 42.9
1987-04, 54.6
1987-05, 59.2
1987-06, 67.4
1987-07, 68.1
1987-08, 71.7
1987-09, 65.3
1987-10, 56.2
1987-11, 42.1
1987-12, 32.2
1988-01, 31.7
1988-02, 39.4
1988-03, 44.0
1988-04, 50.7
1988-05, 56.0
1988-06, 66.5
1988-07, 75.0
1988-08, 73.3
1988-09, 63.8
1988-10, 58.6
1988-11, 42.8
1988-12, 31.4
1989-01, 29.3
1989-02, 30.5
1989-03, 45.9
1989-04, 53.6
1989-05, 56.6
1989-06, 65.9
1989-07, 72.4
1989-08, 67.7
1989-09, 61.9
1989-10, 50.9
1989-11, 41.5
1989-12, 35.8
1990-01, 33.8
1990-02, 30.5
1990-03, 45.0
1990-04, 54.0
1990-05, 55.3
1990-06, 64.6
1990-07, 73.6
1990-08, 70.9
1990-09, 65.3
1990-10, 54.8
1990-11, 41.2
1990-12, 25.8
1991-01, 31.8
1991-02, 43.5
1991-03, 39.5
1991-04, 47.0
1991-05, 51.8
1991-06, 61.8
1991-07, 73.8
1991-08, 71.7
1991-09, 65.9
1991-10, 56.7
1991-11, 43.5
1991-12, 33.1
1992-01, 34.3
1992-02, 41.5
1992-03, 46.2
1992-04, 55.0
1992-05, 63.9
1992-06, 66.8
1992-07, 70.7
1992-08, 73.4
1992-09, 65.1
1992-10, 56.0
1992-11, 40.5
1992-12, 31.3
1993-01, 26.0
1993-02, 33.5
1993-03, 47.9
1993-04, 48.7
1993-05, 58.3
1993-06, 61.5
1993-07, 68.4
1993-08, 69.3
1993-09, 64.3
1993-10, 53.9
1993-11, 39.5
1993-12, 35.6
1994-01, 36.5
1994-02, 36.7
1994-03, 47.4
1994-04, 51.5
1994-05, 58.6
1994-06, 67.1
1994-07, 76.3
1994-08, 73.1
1994-09, 64.7
1994-10, 51.3
1994-11, 34.6
1994-12, 34.9
1995-01, 36.5
1995-02, 45.0
1995-03, 42.5
1995-04, 46.4
1995-05, 54.1
1995-06, 61.7
1995-07, 70.5
1995-08, 71.1
1995-09, 65.9
1995-10, 54.0
1995-11, 47.4
1995-12, 39.3
1996-01, 38.4
1996-02, 40.3
1996-03, 43.0
1996-04, 49.7
1996-05, 57.0
1996-06, 66.8
1996-07, 76.0
1996-08, 73.2
1996-09, 62.9
1996-10, 52.3
1996-11, 43.2
1996-12, 38.3
1997-01, 35.0
1997-02, 38.7
1997-03, 48.2
1997-04, 49.0
1997-05, 62.5
1997-06, 64.4
1997-07, 71.7
1997-08, 72.8
1997-09, 65.0
1997-10, 52.1
1997-11, 44.3
1997-12, 32.2
1998-01, 39.1
1998-02, 36.4
1998-03, 43.0
1998-04, 46.8
1998-05, 51.0
1998-06, 63.1
1998-07, 76.3
1998-08, 75.2
1998-09, 65.7
1998-10, 50.0
1998-11, 42.0
1998-12, 32.3
1999-01, 37.3
1999-02, 38.9
1999-03, 44.0
1999-04, 46.0
1999-05, 57.8
1999-06, 66.1
1999-07, 73.6
1999-08, 70.1
1999-09, 66.0
1999-10, 57.1
1999-11, 47.3
1999-12, 35.8
2000-01, 38.1
2000-02, 41.0
2000-03, 45.0
2000-04, 53.8
2000-05, 59.8
2000-06, 70.7
2000-07, 72.5
2000-08, 73.9
2000-09, 63.7
2000-10, 52.5
2000-11, 38.0
2000-12, 37.8
2001-01, 33.2
2001-02, 35.7
2001-03, 48.1
2001-04, 48.0
2001-05, 66.7
2001-06, 70.1
2001-07, 74.3
2001-08, 76.4
2001-09, 68.6
2001-10, 59.1
2001-11, 44.8
2001-12, 35.7
2002-01, 34.5
2002-02, 40.7
2002-03, 42.0
2002-04, 52.4
2002-05, 57.8
2002-06, 70.1
2002-07, 78.8
2002-08, 73.0
2002-09, 66.9
2002-10, 53.3
2002-11, 43.2
2002-12, 37.2
2003-01, 43.1
2003-02, 38.0
2003-03, 46.0
2003-04, 45.8
2003-05, 59.4
2003-06, 71.2
2003-07, 78.7
2003-08, 73.7
2003-09, 67.0
2003-10, 60.1
2003-11, 39.6
2003-12, 37.5
2004-01, 35.8
2004-02, 38.2
2004-03, 51.1
2004-04, 53.1
2004-05, 59.8
2004-06, 69.3
2004-07, 76.8
2004-08, 73.5
2004-09, 65.6
2004-10, 52.5
2004-11, 40.6
2004-12, 35.1
2005-01, 30.1
2005-02, 37.8
2005-03, 45.3
2005-04, 48.6
2005-05, 58.6
2005-06, 63.1
2005-07, 78.6
2005-08, 75.2
2005-09, 62.0
2005-10, 55.4
2005-11, 45.2
2005-12, 38.3
2006-01, 37.5
2006-02, 38.5
2006-03, 38.2
2006-04, 49.5
2006-05, 60.9
2006-06, 71.0
2006-07, 78.1
2006-08, 72.0
2006-09, 64.5
2006-10, 52.3
2006-11, 43.9
2006-12, 34.4
2007-01, 30.4
2007-02, 40.0
2007-03, 47.8
2007-04, 51.5
2007-05, 60.8
2007-06, 69.4
2007-07, 78.0
2007-08, 74.8
2007-09, 63.3
2007-10, 51.7
2007-11, 44.5
2007-12, 33.3
2008-01, 30.7
2008-02, 37.6
2008-03, 44.1
2008-04, 48.7
2008-05, 57.1
2008-06, 68.2
2008-07, 76.0
2008-08, 75.6
2008-09, 66.1
2008-10, 54.0
2008-11, 46.0
2008-12, 33.6
2009-01, 36.8
2009-02, 38.9
2009-03, 42.5
