x,y,total,positive,prev,long,lat,alt
604669.3,1478886,29,19,0.655172413793103,-14.0333508616595,13.3756833015196,18.5994675089828
604731.2,1485729,27,13,0.481481481481481,-14.0325318361365,13.4375495939275,20.3412653827638
606082.8,1475711,8,5,0.625,-14.0204139971555,13.346927485487,25.1085835944791
610359.6,1477024,30,15,0.5,-13.9808758446358,13.3586426561805,19.0949744945253
611260,1499891,37,29,0.783783783783784,-13.9716796802591,13.5653479295677,48.7251012383211
613529.5,1473868,28,20,0.714285714285714,-13.9517296401983,13.3299899300031,20.6490574582796
614665.6,1482815,60,15,0.25,-13.9408876346407,13.4108353343229,18.0435415671475
614722.5,1474320,31,13,0.419354838709677,-13.9406976493241,13.3340306880992,21.1595717221154
620043.1,1497633,13,12,0.923076923076923,-13.8906069755123,13.5445867118458,17
622086.1,1474011,31,15,0.483870967741935,-13.8727270264025,13.330944101097,48.3811373683447
